ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA;;
90;Av. Raja Gabaglia, 617 e oposto ao 617;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3310;;POINT (609474.02 7794715.17);;
91;Av. Raja Gabaglia esquina com R. Yvon Magalhães Pinto;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3277;;POINT (609296.00 7792161.59);;
92;Av. Raja Gabaglia, 4847;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;3257;;POINT (609725.53 7791368.60);;
93;Av. Risoleta Neves a 285 metros da R. da Pedreira;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3315;;POINT (612775.72 7804179.54);;
224;Av. Vilarinho, 1167;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;único;1410;;POINT (609621.49 7808397.92);;
225;Av. Vilarinho, 1251;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;único;1040;;POINT (609565.75 7808501.78);;
228;Av. Vilarinho, oposto ao 1450;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;único;1011;;POINT (609405.56 7808687.38);;
229;Av. Vilarinho, 1616;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;único;1026;;POINT (609291.19 7808794.24);;
230;Av. Vilarinho, oposto ao 2255;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;único;1010;;POINT (608808.06 7808982.80);;
231;Av. Vilarinho, 3050;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;único;1077;;POINT (608135.31 7809300.69);;
232;Av. Vilarinho entre R. das Jaboticabeiras e Av. Cristiano Machado;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;único;1111;;POINT (610237.55 7807812.40);;
233;Av. Vilarinho entre Trincheira José de Souza Machado e R. Maíson Ribeiro;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;único;1611;;POINT (609745.23 7808205.07);;
401;Av. Afonso Pena esquina com Av. Carandaí;Detector de Avanço de Semáforo;60;Mangabeiras-PraÃ§a Rio Branco;único;1299;;POINT (611605.85 7796231.53);;
402;Av. Afonso Pena esquina com Av. Carandaí;Detector de Avanço de Semáforo;60;Mangabeiras-PraÃ§a Rio Branco;único;1726;;POINT (611610.35 7796234.57);;
403;Av. Afonso Pena esquina com Av. Carandaí;Detector de Parada sobre Faixa de Pedestres;60;Mangabeiras-PraÃ§a Rio Branco;único;1299;;POINT (611603.30 7796235.15);;
